"Date","Subregion","WaterYear","max_precip","Season01","Month","d14_precipavg","Seasonr"
2009-10-18,"Central Delta","2010",0,"wet",10,0.243571428571429,"wet"
2009-10-19,"Central Delta","2010",0.03,"wet",10,0.228571428571429,"wet"
2009-10-20,"Central Delta","2010",0.12,"wet",10,0.157857142857143,"wet"
2009-10-21,"Central Delta","2010",0,"wet",10,0.0221428571428571,"wet"
2009-10-22,"Central Delta","2010",0,"wet",10,0.0214285714285714,"wet"
2009-10-23,"Central Delta","2010",0,"wet",10,0.0214285714285714,"wet"
2009-10-24,"Central Delta","2010",0,"wet",10,0.0214285714285714,"wet"
2009-10-25,"Central Delta","2010",0,"wet",10,0.0214285714285714,"wet"
2009-10-26,"Central Delta","2010",0,"wet",10,0.0192857142857143,"wet"
2009-10-27,"Central Delta","2010",0,"wet",10,0.0107142857142857,"wet"
2009-12-03,"Central Delta","2010",0,"wet",12,0.0542857142857143,"wet"
2009-12-04,"Central Delta","2010",0,"wet",12,0.0778571428571429,"wet"
2009-12-05,"Central Delta","2010",0,"wet",12,0.120714285714286,"wet"
2009-12-07,"Central Delta","2010",0.33,"wet",12,0.134285714285714,"wet"
2009-12-08,"Central Delta","2010",0.07,"wet",12,0.134285714285714,"wet"
2009-12-09,"Central Delta","2010",0,"wet",12,0.137142857142857,"wet"
2009-12-10,"Central Delta","2010",0.02,"wet",12,0.138571428571429,"wet"
2009-12-11,"Central Delta","2010",0.15,"wet",12,0.139285714285714,"wet"
2009-12-12,"Central Delta","2010",0.33,"wet",12,0.139285714285714,"wet"
2009-12-13,"Central Delta","2010",0.79,"wet",12,0.139285714285714,"wet"
2009-12-14,"Central Delta","2010",0.19,"wet",12,0.118571428571429,"wet"
2009-12-15,"Central Delta","2010",0,"wet",12,0.135,"wet"
2009-12-16,"Central Delta","2010",0.04,"wet",12,0.135,"wet"
2009-12-17,"Central Delta","2010",0.02,"wet",12,0.133571428571429,"wet"
2009-12-18,"Central Delta","2010",0.01,"wet",12,0.122857142857143,"wet"
2009-12-19,"Central Delta","2010",0,"wet",12,0.100714285714286,"wet"
2009-12-20,"Central Delta","2010",0,"wet",12,0.0578571428571429,"wet"
2009-12-21,"Central Delta","2010",0.04,"wet",12,0.0457142857142857,"wet"
2009-12-22,"Central Delta","2010",0.3,"wet",12,0.0521428571428571,"wet"
2009-12-23,"Central Delta","2010",0,"wet",12,0.0521428571428572,"wet"
2009-12-24,"Central Delta","2010",0,"wet",12,0.0507142857142857,"wet"
2009-12-25,"Central Delta","2010",0,"wet",12,0.05,"wet"
2009-12-26,"Central Delta","2010",0.02,"wet",12,0.0507142857142857,"wet"
2009-12-27,"Central Delta","2010",0.19,"wet",12,0.0507142857142857,"wet"
2009-12-28,"Central Delta","2010",0.02,"wet",12,0.0478571428571429,"wet"
2009-12-29,"Central Delta","2010",0.09,"wet",12,0.0264285714285714,"wet"
2009-12-30,"Central Delta","2010",0.04,"wet",12,0.0307142857142857,"wet"
2009-12-31,"Central Delta","2010",0,"wet",12,0.0307142857142857,"wet"
2010-01-01,"Central Delta","2010",0,"wet",1,0.0307142857142857,"wet"
2010-01-02,"Central Delta","2010",0.01,"wet",1,0.0407142857142857,"wet"
2010-01-03,"Central Delta","2010",0,"wet",1,0.0542857142857143,"wet"
2010-01-04,"Central Delta","2010",0,"wet",1,0.0528571428571429,"wet"
2010-01-05,"Central Delta","2010",0,"wet",1,0.0464285714285714,"wet"
2010-01-09,"Central Delta","2010",0.06,"wet",1,0.0435714285714286,"wet"
2010-01-10,"Central Delta","2010",0,"wet",1,0.0457142857142857,"wet"
2010-01-11,"Central Delta","2010",0,"wet",1,0.0671428571428571,"wet"
